municipio,nombre_unidad,tipologia,clave_ins,institucion,nivel_atencion,tipo_establecimiento,latitud,longitud
AMECA,CRUZ ROJA MEXICANA DELEGACION AMECA,NO ESPECIFICADO,CRUZ ROJA,CRUZ ROJA MEXICANA,PRIMER NIVEL,DE CONSULTA EXTERNA,20.5386482,-104.0313487
GUADALAJARA,SISTEMA PARA EL DESARROLLO INTEGRAL DE LA FAMILIA JALISCO,NO ESPECIFICADO,NES,SISTEMA NACIONAL PARA EL DESARROLLO INTEGRAL DE LA FAMILIA,NO APLICA,DE ASISTENCIA SOCIAL,20.6958214,-103.3478313
GUADALAJARA,CENTRO DE REHABILITACIÓN INTEGRAL DIF JALISCO,NO ESPECIFICADO,NES,SISTEMA NACIONAL PARA EL DESARROLLO INTEGRAL DE LA FAMILIA,TERCER NIVEL,DE CONSULTA EXTERNA,20.7011219,-103.3480586
GUADALAJARA,CLÍNICA DENTAL DIF GUADALAJARA,NO ESPECIFICADO,NES,SISTEMA NACIONAL PARA EL DESARROLLO INTEGRAL DE LA FAMILIA,PRIMER NIVEL,DE CONSULTA EXTERNA,20.6972547,-103.3605167
TLAJOMULCO DE ZUÑIGA,SISTEMA PARA EL DESARROLLO INTEGRAL DE LA FAMILIA DEL MUNICIPIO DE TLAJOMULCO DE ZÚÑIGA,NO ESPECIFICADO,DIFM,SISTEMA NACIONAL PARA EL DESARROLLO INTEGRAL DE LA FAMILIA,PRIMER NIVEL,DE CONSULTA EXTERNA,20.4746392,-103.4513483
GUADALAJARA,CENTRO DE INCLUSIÓN LABORAL PARA PERSONAS CON DISCAPACIDAD,NO ESPECIFICADO,DIFE,SISTEMA NACIONAL PARA EL DESARROLLO INTEGRAL DE LA FAMILIA,NO APLICA,DE ASISTENCIA SOCIAL,20.7068092,-103.3959744
GUADALAJARA,CASA HOGAR PARA MUJERES “MA. CONCEPCIÓN JIMÉNEZ DE MEDINA ASCENCIO”,NO ESPECIFICADO,DIFE,SISTEMA NACIONAL PARA EL DESARROLLO INTEGRAL DE LA FAMILIA,NO APLICA,DE ASISTENCIA SOCIAL,20.6848864,-103.3818319
GUADALAJARA,ASILO LEONIDAS K. DEMOS,NO ESPECIFICADO,DIFE,SISTEMA NACIONAL PARA EL DESARROLLO INTEGRAL DE LA FAMILIA,NO APLICA,DE ASISTENCIA SOCIAL,20.6758801,-103.3354333
GUADALAJARA,CENTRO ASISTENCIAL DE MEDIO CAMINO,NO ESPECIFICADO,DIFE,SISTEMA NACIONAL PARA EL DESARROLLO INTEGRAL DE LA FAMILIA,NO APLICA,DE ASISTENCIA SOCIAL,20.6933392,-103.3023691
TLAJOMULCO DE ZUÑIGA,CENTRO DE ATENCIÓN A LA MUJER SUS HIJAS E HIJOS ESTANCIA TEMPORAL,NO ESPECIFICADO,DIFE,SISTEMA NACIONAL PARA EL DESARROLLO INTEGRAL DE LA FAMILIA,NO APLICA,DE ASISTENCIA SOCIAL,20.4623566,-103.4191838
