municipio,nombre_unidad,tipologia,clave_ins,institucion,nivel_atencion,tipo_establecimiento,latitud,longitud
EL SALTO,CLÍNICA SANTA ROSA DEL VALLE,NO ESPECIFICADO,NES,SERVICIOS MEDICOS PRIVADOS,SEGUNDO NIVEL,DE HOSPITALIZACIÓN,20.5656089,-103.3242372
EL SALTO,CLÍNICA Y MATERNIDAD AURORA,NO ESPECIFICADO,NES,SERVICIOS MEDICOS PRIVADOS,SEGUNDO NIVEL,DE HOSPITALIZACIÓN,20.5164376,-103.1804734
ZAPOTLANEJO,HOSPITAL SANTO TORIBIO,NO ESPECIFICADO,NES,SERVICIOS MEDICOS PRIVADOS,SEGUNDO NIVEL,DE HOSPITALIZACIÓN,20.6228788,-103.0711323
ZAPOTLANEJO,HOSPITAL SANTA FE,NO ESPECIFICADO,NES,SERVICIOS MEDICOS PRIVADOS,SEGUNDO NIVEL,DE HOSPITALIZACIÓN,20.5257458,-103.0844333
IXTLAHUACAN DEL RIO,CENTRAL MÉDICA HOSPITAL,NO ESPECIFICADO,NES,SERVICIOS MEDICOS PRIVADOS,SEGUNDO NIVEL,DE HOSPITALIZACIÓN,20.8671826,-103.2400382
ZAPOTLAN EL GRANDE,CENTROS DE INTEGRACIÓN JUVENIL A.C. UNIDAD DE TRATAMIENTO RESIDENCIAL,NO ESPECIFICADO,NES,SERVICIOS MEDICOS PRIVADOS,SEGUNDO NIVEL,DE HOSPITALIZACIÓN,19.680697,-103.4619483
GUADALAJARA,SANATORIO  ROSETTE,NO ESPECIFICADO,NES,SERVICIOS MEDICOS PRIVADOS,SEGUNDO NIVEL,DE HOSPITALIZACIÓN,20.6949026,-103.3243965
GUADALAJARA,HOSPITAL SANTA MARGARITA S.A. DE C.V.,NO ESPECIFICADO,NES,SERVICIOS MEDICOS PRIVADOS,SEGUNDO NIVEL,DE HOSPITALIZACIÓN,20.681084,-103.3578457
GUADALAJARA,SERVICIOS MÉDICOS QUIRÚRGICOS BETHEL S.A. DE C.V.,NO ESPECIFICADO,NES,SERVICIOS MEDICOS PRIVADOS,SEGUNDO NIVEL,DE HOSPITALIZACIÓN,20.6947229,-103.2743668
GUADALAJARA,CLINICA DEL PILAR S.C.,NO ESPECIFICADO,NES,SERVICIOS MEDICOS PRIVADOS,SEGUNDO NIVEL,DE HOSPITALIZACIÓN,20.6765395,-103.3975607
GUADALAJARA,HOSPITAL PEDRO LOZA  S.A. DE C.V.,NO ESPECIFICADO,NES,SERVICIOS MEDICOS PRIVADOS,SEGUNDO NIVEL,DE HOSPITALIZACIÓN,20.6718764,-103.3250186
GUADALAJARA,HOSPITAL VALLARTA S.A. DE C.V.,NO ESPECIFICADO,NES,SERVICIOS MEDICOS PRIVADOS,SEGUNDO NIVEL,DE HOSPITALIZACIÓN,20.6758155,-103.3791567
GUADALAJARA,PROTECCIÓN A LA INFANCIA A.C.,NO ESPECIFICADO,NES,SERVICIOS MEDICOS PRIVADOS,SEGUNDO NIVEL,DE HOSPITALIZACIÓN,20.655236,-103.3296376
GUADALAJARA,HOSPITAL DEL SAGRADO CORAZÓN S.A. DE C.V.,NO ESPECIFICADO,NES,SERVICIOS MEDICOS PRIVADOS,SEGUNDO NIVEL,DE HOSPITALIZACIÓN,20.6700711,-103.3388276
GUADALAJARA,FUNDACIÓN MEXICANA PARA LA PLANEACIÓN FAMILIAR A.C.,NO ESPECIFICADO,NES,SERVICIOS MEDICOS PRIVADOS,SEGUNDO NIVEL,DE HOSPITALIZACIÓN,20.6957395,-103.3358015
ZAPOTLAN EL GRANDE,SANATORIO SAN JOSÉ DE CD. GUZMÁN JAL S.A. DE C.V,NO ESPECIFICADO,NES,SERVICIOS MEDICOS PRIVADOS,SEGUNDO NIVEL,DE HOSPITALIZACIÓN,19.7077816,-103.4621238
ZAPOTLAN EL GRANDE,CLÍNICA MATERNIDAD SANTA ELENA,NO ESPECIFICADO,NES,SERVICIOS MEDICOS PRIVADOS,PRIMER NIVEL,DE CONSULTA EXTERNA,19.6921136,-103.4640903
ARANDAS,HOSPITAL SAGRADO CORAZÓN DE JESÚS S.A. DE C.V.,NO ESPECIFICADO,NES,SERVICIOS MEDICOS PRIVADOS,SEGUNDO NIVEL,DE HOSPITALIZACIÓN,20.7054713,-102.3490199
SAN IGNACIO CERRO GORDO,CLÍNICA  EL REFUGIO S.A. DE C.V.,NO ESPECIFICADO,SA,SERVICIOS MEDICOS PRIVADOS,SEGUNDO NIVEL,DE HOSPITALIZACIÓN,20.7450171,-102.5374603
GUADALAJARA,CLÍNICA SANTA ROSA,NO ESPECIFICADO,NES,SERVICIOS MEDICOS PRIVADOS,SEGUNDO NIVEL,DE HOSPITALIZACIÓN,20.619885,-103.3478046
SAN JUAN DE LOS LAGOS,HOSPITAL MANUEL MONTERO A.C.,NO ESPECIFICADO,NES,SERVICIOS MEDICOS PRIVADOS,SEGUNDO NIVEL,DE HOSPITALIZACIÓN,21.2449434,-102.3371883
TEOCALTICHE,CENTRO MEDICO LOMAS,NO ESPECIFICADO,NES,SERVICIOS MEDICOS PRIVADOS,SEGUNDO NIVEL,DE HOSPITALIZACIÓN,21.4444996,-102.5696089
TEOCALTICHE,CLÍNICA DE ESPECIALIDADES CESAR'S,NO ESPECIFICADO,NES,SERVICIOS MEDICOS PRIVADOS,SEGUNDO NIVEL,DE HOSPITALIZACIÓN,21.436795,-102.5744656
ZAPOTLAN EL GRANDE,HOSPITAL SAN VICENTE A.C.,NO ESPECIFICADO,NES,SERVICIOS MEDICOS PRIVADOS,SEGUNDO NIVEL,DE HOSPITALIZACIÓN,19.7082816,-103.4651751
ZAPOTLAN EL GRANDE,CLÍNICA HOSPITAL SANTA ROSALÍA,NO ESPECIFICADO,NES,SERVICIOS MEDICOS PRIVADOS,SEGUNDO NIVEL,DE HOSPITALIZACIÓN,19.7198428,-103.4636157
ZAPOTLAN EL GRANDE,HOSPITAL SANTA CECILIA,NO ESPECIFICADO,NES,SERVICIOS MEDICOS PRIVADOS,SEGUNDO NIVEL,DE HOSPITALIZACIÓN,19.7107077,-103.4624478
SAYULA,HOSPITAL SANTA MARÍA INMACULADA SDRL DE C.V.,NO ESPECIFICADO,NES,SERVICIOS MEDICOS PRIVADOS,SEGUNDO NIVEL,DE HOSPITALIZACIÓN,19.884621,-103.5986167
TUXPAN,SERVICIOS MÉDICOS DEL SEÑOR DEL PERDÓN S.A. DE C.V.,NO ESPECIFICADO,NES,SERVICIOS MEDICOS PRIVADOS,SEGUNDO NIVEL,DE HOSPITALIZACIÓN,19.55755,-103.3700487
ZAPOTILTIC,CLÍNICA MÉDICA SANTA MARÍA,NO ESPECIFICADO,NES,SERVICIOS MEDICOS PRIVADOS,SEGUNDO NIVEL,DE HOSPITALIZACIÓN,19.6275036,-103.4207071
ARANDAS,CLÍNICA SAN JOSÉ,NO ESPECIFICADO,NES,SERVICIOS MEDICOS PRIVADOS,SEGUNDO NIVEL,DE HOSPITALIZACIÓN,20.7071056,-102.3555615
ARANDAS,CLÍNICA SANTA SOFÍA,NO ESPECIFICADO,NES,SERVICIOS MEDICOS PRIVADOS,SEGUNDO NIVEL,DE HOSPITALIZACIÓN,20.7047561,-102.3494154
ARANDAS,CENTRO MÉDICO ARANDAS SAN MARTÍN S.A DE C.V.,NO ESPECIFICADO,NES,SERVICIOS MEDICOS PRIVADOS,SEGUNDO NIVEL,DE HOSPITALIZACIÓN,20.7069165,-102.3553312
ARANDAS,CLÍNICA MATERNO INFANTIL Y DE ESPECIALIDADES S.A. DE C.V.,NO ESPECIFICADO,NES,SERVICIOS MEDICOS PRIVADOS,SEGUNDO NIVEL,DE HOSPITALIZACIÓN,20.70545,-102.348798
ARANDAS,CLÍNICA DE ESPECIALIDADES DE ARANDAS S.A. DE C.V.,NO ESPECIFICADO,NES,SERVICIOS MEDICOS PRIVADOS,SEGUNDO NIVEL,DE HOSPITALIZACIÓN,20.705212,-102.350662
ARANDAS,CENTRO MÉDICO,NO ESPECIFICADO,NES,SERVICIOS MEDICOS PRIVADOS,SEGUNDO NIVEL,DE HOSPITALIZACIÓN,20.7053613,-102.3441033
ARANDAS,HOSPITAL SAN RAMÓN,NO ESPECIFICADO,NES,SERVICIOS MEDICOS PRIVADOS,SEGUNDO NIVEL,DE HOSPITALIZACIÓN,20.692384,-102.3595771
JALOSTOTITLAN,SANATORIO DEL CARMEN DE JALOSTOTITLÁN S.A DE C.V.,NO ESPECIFICADO,NES,SERVICIOS MEDICOS PRIVADOS,SEGUNDO NIVEL,DE HOSPITALIZACIÓN,21.1724114,-102.4672986
JALOSTOTITLAN,HOSPITAL ASILO SAN JOSÉ A.C.,NO ESPECIFICADO,NES,SERVICIOS MEDICOS PRIVADOS,SEGUNDO NIVEL,DE HOSPITALIZACIÓN,21.1667393,-102.4634427
JALOSTOTITLAN,SOCIEDAD MEDICO QUIRURGICO DE JALOSTOTITLAN S.A. DE C.V.,NO ESPECIFICADO,NES,SERVICIOS MEDICOS PRIVADOS,SEGUNDO NIVEL,DE HOSPITALIZACIÓN,21.1584547,-102.4608709
TEPATITLAN DE MORELOS,HOSPITAL VICENTITA S.A. DE C.V.,NO ESPECIFICADO,NES,SERVICIOS MEDICOS PRIVADOS,SEGUNDO NIVEL,DE HOSPITALIZACIÓN,20.8105851,-102.7577932
TEPATITLAN DE MORELOS,INMOBILIARIA DEL CENTRO MÉDICO ALTEÑO S.A. DE C.V.,NO ESPECIFICADO,NES,SERVICIOS MEDICOS PRIVADOS,SEGUNDO NIVEL,DE HOSPITALIZACIÓN,20.8047094,-102.7808279
YAHUALICA DE GONZALEZ GALLO,CLINICA SAN MIGUEL S.A. DE C.V.,NO ESPECIFICADO,NES,SERVICIOS MEDICOS PRIVADOS,SEGUNDO NIVEL,DE HOSPITALIZACIÓN,21.1791705,-102.8886767
VALLE DE JUAREZ,CLINICA JUAN PABLO DE VALLE DE JUAREZ S.A. DE C.V.,NO ESPECIFICADO,NES,SERVICIOS MEDICOS PRIVADOS,SEGUNDO NIVEL,DE HOSPITALIZACIÓN,19.9310822,-102.9467487
GUADALAJARA,HOSPITAL SAN JUAN BAUTISTA,NO ESPECIFICADO,NES,SERVICIOS MEDICOS PRIVADOS,SEGUNDO NIVEL,DE HOSPITALIZACIÓN,20.6952853,-103.2842615
GUADALAJARA,SANATORIO SANTA MARÍA DE GUADALUPE,NO ESPECIFICADO,NES,SERVICIOS MEDICOS PRIVADOS,SEGUNDO NIVEL,DE HOSPITALIZACIÓN,20.6427905,-103.3521122
ZAPOPAN,CENTRO OFTALMOLOGICO DE GUADALAJARA S.A. DE C.V.,NO ESPECIFICADO,NES,SERVICIOS MEDICOS PRIVADOS,PRIMER NIVEL,DE CONSULTA EXTERNA,20.7144892,-103.3870054
SAN PEDRO TLAQUEPAQUE,CLÍNICA HOSPITAL DIAGNOSIS,NO ESPECIFICADO,NES,SERVICIOS MEDICOS PRIVADOS,SEGUNDO NIVEL,DE HOSPITALIZACIÓN,20.6384108,-103.3135687
GUADALAJARA,"CENTRO DE EVALUACIÓN Y DIAGNÓSTICO MÉDICO PARA EL AUTOTRANSPORTE MOGOBLA, S.A. DE C.V.",NO ESPECIFICADO,OTRA,SERVICIOS MEDICOS PRIVADOS,PRIMER NIVEL,DE CONSULTA EXTERNA,20.641676,-103.33032
GUADALAJARA,OPERADORA HOSPITALARIA SAN MIGUEL COUNTRY S.A. DE C.V.,NO ESPECIFICADO,NES,SERVICIOS MEDICOS PRIVADOS,SEGUNDO NIVEL,DE HOSPITALIZACIÓN,20.7017221,-103.3589235
GUADALAJARA,"CENTRO OFTALMOLÓGICO SAN ÁNGEL, S.A. DE C.V.",NO ESPECIFICADO,NES,SERVICIOS MEDICOS PRIVADOS,PRIMER NIVEL,DE CONSULTA EXTERNA,20.6833166,-103.3492482
GUADALAJARA,SANATORIO MATERNIDAD ANITA S.A DE C.V.,NO ESPECIFICADO,NES,SERVICIOS MEDICOS PRIVADOS,SEGUNDO NIVEL,DE HOSPITALIZACIÓN,20.690557,-103.3147824
GUADALAJARA,"MEDICINA QUIRURGICA AVANZADA DE OCCIDENTE, SA DE CV",NO ESPECIFICADO,OTRA,SERVICIOS MEDICOS PRIVADOS,SEGUNDO NIVEL,DE HOSPITALIZACIÓN,20.6779481,-103.3778868
GUADALAJARA,SANATORIO SAN GERÓNIMO S.A. DE C.V.,NO ESPECIFICADO,NES,SERVICIOS MEDICOS PRIVADOS,SEGUNDO NIVEL,DE HOSPITALIZACIÓN,20.6689485,-103.3184454
GUADALAJARA,"POLICLÍNICA CASTILLO, S.A. DE C.V.",NO ESPECIFICADO,NES,SERVICIOS MEDICOS PRIVADOS,SEGUNDO NIVEL,DE HOSPITALIZACIÓN,20.6798669,-103.3111839
GUADALAJARA,"HOSPITAL ESPAÑOL, S.A. DE C.V.",NO ESPECIFICADO,NES,SERVICIOS MEDICOS PRIVADOS,SEGUNDO NIVEL,DE HOSPITALIZACIÓN,20.6667958,-103.3520575
GUADALAJARA,SANATORIO SAN JOAQUIN,NO ESPECIFICADO,NES,SERVICIOS MEDICOS PRIVADOS,SEGUNDO NIVEL,DE HOSPITALIZACIÓN,20.6730607,-103.2767214
GUADALAJARA,MATERNIDAD Y SANATORIO SANTA ISABEL,NO ESPECIFICADO,NES,SERVICIOS MEDICOS PRIVADOS,SEGUNDO NIVEL,DE HOSPITALIZACIÓN,20.6748786,-103.3295345
GUADALAJARA,"SANATORIO GUADALAJARA, S.A.",NO ESPECIFICADO,NES,SERVICIOS MEDICOS PRIVADOS,SEGUNDO NIVEL,DE HOSPITALIZACIÓN,20.6777362,-103.3712535
GUADALAJARA,"SANATORIO FRAY ANTONIO DE SEGOVIA, S.A. DE C.V.",NO ESPECIFICADO,NES,SERVICIOS MEDICOS PRIVADOS,SEGUNDO NIVEL,DE HOSPITALIZACIÓN,20.6818724,-103.3166403
GUADALAJARA,"SERVICIOS HOSPITALARIOS SANTA CATALINA, S.A. DE C.V.",NO ESPECIFICADO,NES,SERVICIOS MEDICOS PRIVADOS,SEGUNDO NIVEL,DE HOSPITALIZACIÓN,20.6818963,-103.3283291
TEPATITLAN DE MORELOS,"ANGELES VISION HOSPITAL DE OFTALMOLOGIA, S.A. DE C.V.",NO ESPECIFICADO,NES,SERVICIOS MEDICOS PRIVADOS,PRIMER NIVEL,DE CONSULTA EXTERNA,20.8152113,-102.773804
GUADALAJARA,"HOSPITAL EL ANGEL, S.A DE C.V.",NO ESPECIFICADO,NES,SERVICIOS MEDICOS PRIVADOS,SEGUNDO NIVEL,DE HOSPITALIZACIÓN,20.6561551,-103.3625677
OCOTLAN,"PATRONATO DEL HOSPITAL DE SAN VICENTE EN OCOTLÁN, A.C.",NO ESPECIFICADO,NES,SERVICIOS MEDICOS PRIVADOS,SEGUNDO NIVEL,DE HOSPITALIZACIÓN,20.3559383,-102.7761156
GUADALAJARA,"SERVICIOS OPTOMETRICOS Y OPTICOS, S.A. DE C.V.",NO ESPECIFICADO,NES,SERVICIOS MEDICOS PRIVADOS,PRIMER NIVEL,DE CONSULTA EXTERNA,20.6844222,-103.3899189
GUADALAJARA,"CLINICA SAN JUAN BOSCO, S.A.",NO ESPECIFICADO,NES,SERVICIOS MEDICOS PRIVADOS,SEGUNDO NIVEL,DE HOSPITALIZACIÓN,20.6762124,-103.3161061
GUADALAJARA,"ASOCIACION HOSPITALARIA DE SERVICIO SOCIAL, A.C.",NO ESPECIFICADO,NES,SERVICIOS MEDICOS PRIVADOS,SEGUNDO NIVEL,DE HOSPITALIZACIÓN,20.6720638,-103.354038
GUADALAJARA,"HOSPITAL SANTA TERESITA, A.C.",NO ESPECIFICADO,NES,SERVICIOS MEDICOS PRIVADOS,SEGUNDO NIVEL,DE HOSPITALIZACIÓN,20.6856387,-103.3686048
GUADALAJARA,"CLINICA QUIRURGICA DEL BOSQUE, S.A. DE C.V.",NO ESPECIFICADO,NES,SERVICIOS MEDICOS PRIVADOS,SEGUNDO NIVEL,DE HOSPITALIZACIÓN,20.6667833,-103.3899191
GUADALAJARA,"ARIS VISION INSTITUTE DE GUADALAJARA, S.C.",NO ESPECIFICADO,OTRA,SERVICIOS MEDICOS PRIVADOS,PRIMER NIVEL,DE CONSULTA EXTERNA,20.6784634,-103.3965747
GUADALAJARA,"CENTRO HOSPITALARIO VICOR, S.A. DE C.V.",NO ESPECIFICADO,OTRA,SERVICIOS MEDICOS PRIVADOS,SEGUNDO NIVEL,DE HOSPITALIZACIÓN,20.6648468,-103.3890201
GUADALAJARA,SANATORIO LOMAS DEL GALLO,NO ESPECIFICADO,OTRA,SERVICIOS MEDICOS PRIVADOS,SEGUNDO NIVEL,DE HOSPITALIZACIÓN,20.6782708,-103.2717798
GUADALAJARA,CAMINA HACIA UNA NUEVA VIDA CON CRISTO A.C.,NO ESPECIFICADO,OTRA,SERVICIOS MEDICOS PRIVADOS,NO APLICA,DE ASISTENCIA SOCIAL,20.6825154,-103.335933
GUADALAJARA,"SANATORIO Y MATERNIDAD COLONIAS, S.A. DE C.V.",NO ESPECIFICADO,OTRA,SERVICIOS MEDICOS PRIVADOS,SEGUNDO NIVEL,DE HOSPITALIZACIÓN,20.6768888,-103.3663926
GUADALAJARA,"ASESORES MEDICOS, S.A. DE C.V.",NO ESPECIFICADO,OTRA,SERVICIOS MEDICOS PRIVADOS,SEGUNDO NIVEL,DE HOSPITALIZACIÓN,20.6796145,-103.3791686
GUADALAJARA,HOSPITAL RIOS,NO ESPECIFICADO,OTRA,SERVICIOS MEDICOS PRIVADOS,SEGUNDO NIVEL,DE HOSPITALIZACIÓN,20.6943499,-103.279066
GUADALAJARA,"OPERADORA DE HOSPITALES MARIANA, S.A. DE C.V.",NO ESPECIFICADO,OTRA,SERVICIOS MEDICOS PRIVADOS,SEGUNDO NIVEL,DE HOSPITALIZACIÓN,20.6971554,-103.3343555
GUADALAJARA,"CLINICA MEDICO QUIRURGICA FERROCARRIL, S.A. DE C.V.",NO ESPECIFICADO,OTRA,SERVICIOS MEDICOS PRIVADOS,SEGUNDO NIVEL,DE HOSPITALIZACIÓN,20.6463777,-103.3510644
TLAJOMULCO DE ZUÑIGA,"COI CENTRO ONCOLÓGICO INTERNACIONAL, S.A.P.I DE C.V.",OTRO,OTRA,SERVICIOS MEDICOS PRIVADOS,SEGUNDO NIVEL,DE CONSULTA EXTERNA,20.5887263,-103.4432524
GUADALAJARA,CLINICA DE NUESTRA SEÑORA DEL ROSARIO,NO ESPECIFICADO,OTRA,SERVICIOS MEDICOS PRIVADOS,SEGUNDO NIVEL,DE HOSPITALIZACIÓN,20.6745636,-103.3321057
GUADALAJARA,"CLINICA SAN PIO, S.A. DE C.V.",NO ESPECIFICADO,OTRA,SERVICIOS MEDICOS PRIVADOS,SEGUNDO NIVEL,DE HOSPITALIZACIÓN,20.6879722,-103.3781536
GUADALAJARA,"HOSPITAL CENTRAL QUIRURGICA DE GUADALAJARA, S.A. DE C.V.",NO ESPECIFICADO,OTRA,SERVICIOS MEDICOS PRIVADOS,SEGUNDO NIVEL,DE HOSPITALIZACIÓN,20.6629393,-103.362834
IXTLAHUACAN DE LOS MEMBRILLOS,CENTRO DE TRATAMIENTO VOLVER A NACER A.C.,NO ESPECIFICADO,OTRA,SERVICIOS MEDICOS PRIVADOS,NO APLICA,DE ASISTENCIA SOCIAL,20.377599,-103.187521
GUADALAJARA,LAURUS REAL HOSPITAL DE ESPECIALIDADES,NO ESPECIFICADO,OTRA,SERVICIOS MEDICOS PRIVADOS,SEGUNDO NIVEL,DE HOSPITALIZACIÓN,20.6891352,-103.2982509
GUADALAJARA,"CLINICA OFTALMICA LASER CHOZA,S.A. DE C.V.",NO ESPECIFICADO,OTRA,SERVICIOS MEDICOS PRIVADOS,PRIMER NIVEL,DE CONSULTA EXTERNA,20.6768236,-103.3901276
GUADALAJARA,CENTRO DE REHABILITACION E INCLUSION INFANTIL TELETON OCCIDENTE,NO ESPECIFICADO,NES,SERVICIOS MEDICOS PRIVADOS,PRIMER NIVEL,DE CONSULTA EXTERNA,20.61426,-103.384715
GUADALAJARA,HOSPITAL NUESTRA SEÑORA DE MDGR DE OCCIDENTE S. DE R.L. DE C.V.,NO ESPECIFICADO,OTRA,SERVICIOS MEDICOS PRIVADOS,SEGUNDO NIVEL,DE HOSPITALIZACIÓN,20.6271491,-103.3696304
GUADALAJARA,CLINICA EL DIVINO SALVADOR,NO ESPECIFICADO,OTRA,SERVICIOS MEDICOS PRIVADOS,SEGUNDO NIVEL,DE HOSPITALIZACIÓN,20.641342,-103.3714358
GUADALAJARA,TERAPIAS INTEGRALES DEL RIÑON S.A. DE C.V.,NO ESPECIFICADO,OTRA,SERVICIOS MEDICOS PRIVADOS,PRIMER NIVEL,DE CONSULTA EXTERNA,20.6973839,-103.3639187
GUADALAJARA,CLINICA NUÑEZ ALVAREZ S. DE R.L. DE C.V.,NO ESPECIFICADO,OTRA,SERVICIOS MEDICOS PRIVADOS,SEGUNDO NIVEL,DE HOSPITALIZACIÓN,20.678474,-103.3286743
SAN PEDRO TLAQUEPAQUE,UNIDAD MEDICA PARA OPERADORES DEL TRANSPORTE FEDERAL,NO ESPECIFICADO,OTRA,SERVICIOS MEDICOS PRIVADOS,PRIMER NIVEL,DE CONSULTA EXTERNA,20.620523,-103.304072
ZAPOTLAN EL GRANDE,CONSULTORIO MEDICO DE ESPECIALIDADES,NO ESPECIFICADO,OTRA,SERVICIOS MEDICOS PRIVADOS,PRIMER NIVEL,DE CONSULTA EXTERNA,19.6893757,-103.4601149
GUADALAJARA,"RENDIMIENTO FISICO DE JALISCO, S.A. DE C.V.",NO ESPECIFICADO,OTRA,SERVICIOS MEDICOS PRIVADOS,SEGUNDO NIVEL,DE HOSPITALIZACIÓN,20.6693912,-103.3971345
GUADALAJARA,CENTRO ANTIDIABETICO MEXICO S.A. DE C.V. SUC. GUADALAJARA,NO ESPECIFICADO,OTRA,SERVICIOS MEDICOS PRIVADOS,PRIMER NIVEL,DE CONSULTA EXTERNA,20.662303,-103.388089
EL SALTO,CLINICA PROSPERIDAD A.C.,NO ESPECIFICADO,OTRA,SERVICIOS MEDICOS PRIVADOS,NO APLICA,DE ASISTENCIA SOCIAL,20.565105,-103.312742
SAN PEDRO TLAQUEPAQUE,MEDICONSULTORES S.C.,NO ESPECIFICADO,OTRA,SERVICIOS MEDICOS PRIVADOS,PRIMER NIVEL,DE CONSULTA EXTERNA,20.623972,-103.285556
PUERTO VALLARTA,HOSPITAL PREMIER BY CMQ,NO ESPECIFICADO,OTRA,SERVICIOS MEDICOS PRIVADOS,SEGUNDO NIVEL,DE HOSPITALIZACIÓN,20.6469979,-105.2200705
PUERTO VALLARTA,"HOSPITAL CMQ DE VALLARTA, S.A. DE C.V.",NO ESPECIFICADO,OTRA,SERVICIOS MEDICOS PRIVADOS,SEGUNDO NIVEL,DE HOSPITALIZACIÓN,20.6029143,-105.2334182
GUADALAJARA,NUEVO TRINITARIO SACERDOTAL,NO ESPECIFICADO,OTRA,SERVICIOS MEDICOS PRIVADOS,NO APLICA,DE ASISTENCIA SOCIAL,20.693494,-103.3699563
GUADALAJARA,"KMM ESPECIALISTAS COMERCIALES, S.A. DE C.V.",NO ESPECIFICADO,OTRA,SERVICIOS MEDICOS PRIVADOS,PRIMER NIVEL,DE CONSULTA EXTERNA,20.661992,-103.395892
ZAPOPAN,CENTRO DE TRATAMIENTO LA PROXIMA FRONTERA AC,NO ESPECIFICADO,OTRA,SERVICIOS MEDICOS PRIVADOS,NO APLICA,DE ASISTENCIA SOCIAL,20.6045814,-103.4241703
PUERTO VALLARTA,HOSPITAL VERSALLES DE PUERTO VALLARTA S.A. DE C.V.,NO ESPECIFICADO,OTRA,SERVICIOS MEDICOS PRIVADOS,SEGUNDO NIVEL,DE HOSPITALIZACIÓN,20.634167,-105.228139
GUADALAJARA,"CLINICA SANTO DOMINGO, S.A DE C.V.",NO ESPECIFICADO,OTRA,SERVICIOS MEDICOS PRIVADOS,SEGUNDO NIVEL,DE HOSPITALIZACIÓN,20.701342,-103.339189
TLAJOMULCO DE ZUÑIGA,"CLINICA DE ESPECIALIDADES TLAJOMULCO, S.A. DE C.V.",NO ESPECIFICADO,OTRA,SERVICIOS MEDICOS PRIVADOS,SEGUNDO NIVEL,DE HOSPITALIZACIÓN,20.469857,-103.440787
GUADALAJARA,"ASILO DE ANCIANOS DESAMPARADOS,A.C.",NO ESPECIFICADO,OTRA,SERVICIOS MEDICOS PRIVADOS,NO APLICA,DE ASISTENCIA SOCIAL,20.6671879,-103.3537194
GUADALAJARA,HOSPITAL ARISTA,NO ESPECIFICADO,OTRA,SERVICIOS MEDICOS PRIVADOS,SEGUNDO NIVEL,DE HOSPITALIZACIÓN,20.6875043,-103.3596452
ZAPOTLAN EL GRANDE,FARMACIAS BENAVIDES,CONSULTORIO ADYACENTE A FARMACIA,FOB,SERVICIOS MEDICOS PRIVADOS,PRIMER NIVEL,DE CONSULTA EXTERNA,19.7035,-103.4656
CHAPALA,FARMACIAS BENAVIDES,CONSULTORIO ADYACENTE A FARMACIA,FOB,SERVICIOS MEDICOS PRIVADOS,PRIMER NIVEL,DE CONSULTA EXTERNA,20.3008,-103.1905
GUADALAJARA,FARMACIAS BENAVIDES,CONSULTORIO ADYACENTE A FARMACIA,FOB,SERVICIOS MEDICOS PRIVADOS,PRIMER NIVEL,DE CONSULTA EXTERNA,20.6727,-103.3249
GUADALAJARA,FARMACIAS BENAVIDES,CONSULTORIO ADYACENTE A FARMACIA,FOB,SERVICIOS MEDICOS PRIVADOS,PRIMER NIVEL,DE CONSULTA EXTERNA,20.6758,-103.3139
GUADALAJARA,FARMACIAS BENAVIDES,CONSULTORIO ADYACENTE A FARMACIA,FOB,SERVICIOS MEDICOS PRIVADOS,PRIMER NIVEL,DE CONSULTA EXTERNA,20.7048,-103.3478
GUADALAJARA,FARMACIAS BENAVIDES,CONSULTORIO ADYACENTE A FARMACIA,FOB,SERVICIOS MEDICOS PRIVADOS,PRIMER NIVEL,DE CONSULTA EXTERNA,20.63,-103.3766
GUADALAJARA,FARMACIAS BENAVIDES,CONSULTORIO ADYACENTE A FARMACIA,FOB,SERVICIOS MEDICOS PRIVADOS,PRIMER NIVEL,DE CONSULTA EXTERNA,20.7151,-103.3415
GUADALAJARA,FARMACIAS BENAVIDES,CONSULTORIO ADYACENTE A FARMACIA,FOB,SERVICIOS MEDICOS PRIVADOS,PRIMER NIVEL,DE CONSULTA EXTERNA,20.6898,-103.3026
GUADALAJARA,FARMACIAS BENAVIDES,CONSULTORIO ADYACENTE A FARMACIA,FOB,SERVICIOS MEDICOS PRIVADOS,PRIMER NIVEL,DE CONSULTA EXTERNA,20.7127,-103.3211
GUADALAJARA,FARMACIAS BENAVIDES,CONSULTORIO ADYACENTE A FARMACIA,FOB,SERVICIOS MEDICOS PRIVADOS,PRIMER NIVEL,DE CONSULTA EXTERNA,20.7301,-103.4394
GUADALAJARA,FARMACIAS BENAVIDES,CONSULTORIO ADYACENTE A FARMACIA,FOB,SERVICIOS MEDICOS PRIVADOS,PRIMER NIVEL,DE CONSULTA EXTERNA,20.6874216,-103.3832724
GUADALAJARA,FARMACIAS BENAVIDES,CONSULTORIO ADYACENTE A FARMACIA,FOB,SERVICIOS MEDICOS PRIVADOS,PRIMER NIVEL,DE CONSULTA EXTERNA,20.7024,-103.3604
GUADALAJARA,FARMACIAS BENAVIDES,CONSULTORIO ADYACENTE A FARMACIA,FOB,SERVICIOS MEDICOS PRIVADOS,PRIMER NIVEL,DE CONSULTA EXTERNA,20.7275,-103.3147
GUADALAJARA,FARMACIAS BENAVIDES,CONSULTORIO ADYACENTE A FARMACIA,FOB,SERVICIOS MEDICOS PRIVADOS,PRIMER NIVEL,DE CONSULTA EXTERNA,20.6973,-103.3628
